disease_name,primary_dosha,secondary_dosha,body_attributes_imbalance,tissues_affected,main_healing_herb,herb_preparation,herb_vehicle,herb_action,diet_to_favor,diet_to_avoid,lifestyle_modification,recommended_yoga_pose,recommended_breathing_exercise,meditation_focus
head injury,Vata,None,Abhighata,Majja Dhatu,Brahmi,Grita,Milk,Medhya,"Soft, easy to digest",Loud noise,Medical monitoring,Shavasana,Anulom Vilom,Brain healing
fracture of the shoulder,Vata,None,Asthi-bhanga,Asthi Dhatu,Shallaki,Guggulu,Milk,Sandhanaka,Calcium rich,Arm movement,Sling support,Tadasana,Anulom Vilom,Shoulder union
intestinal malabsorption,Vata,Kapha,Grahani,Annavaha Srotas,Bilva,Churna,Buttermilk,Deepana/Pachana,"Warm, cooked food",Raw food,Probiotics,Pavanamuktasana,Anulom Vilom,Nutrient absorption
vulvar disorder,Pitta,Kapha,Yonivyapad,Artavavaha Srotas,Shatavari,Ghrita,Milk,Balya,Anti-inflammatory,Irritants,Local hygiene,Baddha Konasana,Anulom Vilom,Tissue health
systemic lupus erythematosis (sle),Sannipata,None,Rakta-gata Vata,Rakta Dhatu,Guduchi,Satva,Water,Rasayana,Anti-inflammatory,"Sunlight, stress",Panchakarma,Shavasana,Sheetali,Immune balance
sick sinus syndrome,Vata,Kapha,Hrid-roga,Hridaya,Arjuna,Vati,Water,Hridya,Heart healthy,Stimulants,Monitor rhythm,Shavasana,Bhramari,Cardiac impulse
foreign body in the throat,Vata,None,Kantha-shoola,Pranavaha Srotas,Ghee,Oral,Warm Milk or Sesame oil,Shamana (Pacification) and Dhatu-poshana (Tissue nourishment),Soft food,Hard food,Immediate removal,Simhasana,Anulom Vilom,Throat safety
lumbago,Vata,None,Kati-shoola,Asthi Dhatu,Yogaraja Guggulu,Vati,Warm water,Vatashamana,"Warm, oily food",Cold wind,Correct posture,Marjariasana,Anulom Vilom,Lumbar health
hydrocephalus,Kapha,Vata,Mastishka-shotha,Majja Dhatu,Punarnava,Kwatha,Water,Mutrala/Lekhana,Low salt diet,Fluid excess,Shunt care,Shavasana,Anulom Vilom,Fluid balance
stomach cancer,Sannipata,None,Arbudha,Annavaha Srotas,Kanchanar,Arishta,Water,Rasayana,Antioxidant diet,Processed food,Regular screening,Shavasana,Anulom Vilom,Digestive balance
conjunctivitis due to bacteria,Pitta,Kapha,Netra-abhishyanda,Netra (Eyes),Triphala,Eye Wash,Rose Water,Krimighna,Cooling diet,Dust/Smoke,Eye hygiene,Trataka,Sheetali,Bacterial clearance
celiac disease,Vata,Pitta,Grahani,Annavaha Srotas,Musta,Churna,Buttermilk,Deepana/Pachana,"Gluten-free, rice, moong","Wheat, Rye, Barley",Probiotic focus,Vajrasana,Anulom Vilom,Gut lining integrity
chronic knee pain,Vata,None,Januvata,Sandhi (Joints),Shallaki,Vati,Warm water,Sandhishothahara,"Anti-inflammatory, warm",Cold foods,Knee support/rest,Janushirasana,Anulom Vilom,Joint flexibility
pericarditis,Pitta,Vata,Hrid-shotha,Hridaya,Arjuna,Ksheer-paka,Milk,Hridya,"Cooling, low salt",Spicy food,Cardiac rest,Shavasana,Bhramari,Cardiac cooling
mastoiditis,Kapha,Pitta,Karnamula-shotha,Karna (Ear),Guggulu,Vati,Warm water,Shothahara,"Warm, light",Cold drinks,Warm compress,Simhasana,Ujjayi,Inner ear health
subarachnoid hemorrhage,Pitta,Vata,Raktaja-roga,Majja Dhatu,Sariva,Phant,Water,Raktastambhana,"Cooling, bland","Spices, alcohol",Intensive care/Rest,Shavasana,Sheetali,Vessel integrity
subdural hemorrhage,Pitta,Vata,Abhighataja-rakta,Majja Dhatu,Guduchi,Satva,Water,Raktaprasadana,"Liquid, cooling",Sour food,Absolute bed rest,Shavasana,Nadi Shodhana,Brain recovery
cerebral palsy,Vata,None,Sahaja-vatavyadhi,Majja Dhatu,Bala,Oil/Ksheerpaka,Warm Milk,Balya/Vatashamana,Nerve nourishing,Heavy fried food,Physical therapy,Tadasana,Anulom Vilom,Neuro-plasticity
hidradenitis suppurativa,Kapha,Pitta,Nadi-vrana,Twak (Skin),Kanchanar Guggulu,Vati,Warm water,Lekhana/Ropana,"Low sugar, anti-inflammatory","Dairy, Oily food",Personal hygiene,Surya Namaskar,Kapalbhati,Skin follicle health
cellulitis or abscess of mouth,Pitta,Kapha,Mukha-vidradhi,Mamsa Dhatu,Triphala,Gargle,Honey,Pachana/Ropana,"Cooling, soft",Sharp/Hot food,Local cleanliness,Simhasana,Sheetali,Infection control
retinopathy due to high blood pressure,Pitta,Vata,Raktachapa-Netraroga,Netra (Eyes),Saptamrit Lauha,Vati,Ghee,Chakshushya,"Low salt, Pitta-shaman","High salt, Caffeine",Blood pressure control,Trataka,Sheetali,Retinal stability
male genitalia infection,Pitta,Kapha,Upadansha,Mamsa Dhatu,Neem,Kwatha wash,Water,Krimighna,"Bitter, cooling","Sour, spicy",Safe hygiene,Baddha Konasana,Anulom Vilom,Genital health
abdominal aortic aneurysm,Vata,Pitta,Siraja-granthi,Rakta Dhatu,Arjuna,Vati,Water,Hridya/Vatashamana,Heart healthy,Heavy exertion,Avoid straining,Shavasana,Bhramari,Aortic strength
myositis,Vata,Pitta,Mamsa-shotha,Mamsa Dhatu,Shallaki,Vati,Warm water,Shothahara,Anti-inflammatory,Excessive exercise,Gentle massage,Vajrasana,Anulom Vilom,Muscle repair
premenstrual tension syndrome,Vata,Pitta,Artava-vyapad,Artavavaha Srotas,Ashwagandha,Arishta,Water,Manoprasadana,"Warm, regular meals","Salt, Caffeine",Relaxation,Balasana,Nadi Shodhana,Hormonal balance
perirectal infection,Pitta,Kapha,Guda-vidradhi,Mamsa Dhatu,Triphala Guggulu,Vati,Warm water,Shothahara/Ropana,"Fiber-rich, light",Constipating food,Sitz bath,Pavanamuktasana,Anulom Vilom,Anorectal health
lactose intolerance,Vata,None,Grahani,Annavaha Srotas,Bilva,Churna,Buttermilk (Takra),Deepana,Dairy-free alternatives,"Milk, Cheese",Enzyme support,Vajrasana,Anulom Vilom,Lactase efficiency
polymyalgia rheumatica,Vata,Kapha,Amavata,Mamsa Dhatu,Amritadi Guggulu,Vati,Warm water,Amapachana,"Warm, light","Curd, Sweets",Daily movement,Tadasana,Bhastrika,Systemic ease
peripheral arterial embolism,Vata,Kapha,Dhamani-avarodha,Rakta Dhatu,Guggulu,Vati,Warm water,Lekhana,Heart healthy,High cholesterol,Circulation therapy,Viparita Karani,Anulom Vilom,Vessel clearing
prostate cancer,Sannipata,None,Vatashthila-Arbudha,Mamsa Dhatu,Varuna,Kwatha,Water,Rasayana/Lekhana,Anti-inflammatory diet,Tobacco,Specialist care,Paschimottanasana,Anulom Vilom,Urinary vitality
myasthenia gravis,Vata,None,Mamsa-kshaya,Majja Dhatu,Ashwagandha,Leha,Milk,Balya,Nerve nourishing,Skipping meals,Energy conservation,Shavasana,Anulom Vilom,Neuromuscular junction
lymphoma,Sannipata,None,Lasika-arbudha,Rasa Dhatu,Kanchanar,Arishta,Water,Rasayana/Vishagna,Antioxidant rich,Processed toxins,Palliative support,Shavasana,Anulom Vilom,Lymphatic balance
injury to internal organ,Vata,Pitta,Koshtha-abhighata,Sarvadeha,Laksha,Churna,Milk,Sandhanaka,"Liquid, soft",Hard food,Critical rest,Shavasana,Nadi Shodhana,Organ recovery
gonorrhea,Pitta,Kapha,Puyameha,Shukravaha Srotas,Chandraprabha Vati,Vati,Warm water,Mutrala/Krimighna,Cooling fluids,"Spices, alcohol",Partner tracing,Baddha Konasana,Sheetali,Infection clearing
foreign body in the gastrointestinal tract,Vata,None,Shalyagata-Annavaha,Annavaha Srotas,Isabgol,Husk,Warm water,Anulomana,High fiber,Solid food,Surgical watch,Shavasana,Anulom Vilom (Alternate Nostril Breathing),GI passage
down syndrome,Vata,Kapha,Sahaja-vikruti,Sarvadeha,Brahmi,Grita,Milk,Medhya,"Balanced, fresh",Sugar,Special education,Vrikshasana,Nadi Shodhana,Developmental ease
injury to the hand,Vata,None,Hasta-abhighata,Snayu,Shallaki,Vati,Warm water,Sandhanaka,Protein-rich,Sudden strain,Immobilization,Tadasana,Anulom Vilom,Hand union
poisoning due to sedatives,Vata,Tamas,Madatyaya-visha,Manovaha Srotas,Vacha,Arka,Honey,Vishagna/Medhya,Hydrating liquids,Sedatives,Gastric lavage,Shavasana,Bhastrika,Nervous clarity
thrombocytopenia,Pitta,Rakta,Raktaja-vyadhi,Rakta Dhatu,Giloy (Guduchi),Swarasa,Honey,Raktavardhaka,Papaya leaf extract,Excess salt,Avoid injuries,Vrikshasana,Anulom Vilom,Platelet count
bladder cancer,Sannipata,None,Vasti-arbudha,Mutravaha Srotas,Kanchanar Guggulu,Vati,Warm water,Rasayana,Anti-inflammatory,Tobacco,Specialist monitoring,Bhujangasana,Anulom Vilom,Bladder health
pulmonary fibrosis,Vata,None,Phuphusa-kshaya,Pranavaha Srotas,Ashwagandha,Ksheerpaka,Milk,Rasayana,Nourishing fluids,Pollutants,Oxygen therapy,Matsyasana,Deep breathing,Lung elasticity
varicose veins,Vata,Kapha,Siraja-granthi,Rakta Dhatu,Punarnava,Kwatha,Water,Lekhana,"Low salt, fiber",Standing still,Leg elevation,Viparita Karani,Anulom Vilom,Venous return
peripheral arterial disease,Vata,Kapha,Dhamani-pratichaya,Rakta Dhatu,Guggulu,Vati,Warm water,Lekhana,Heart healthy,Smoking,Daily walking,Tadasana,Anulom Vilom,Arterial flow
coronary atherosclerosis,Kapha,Vata,Hrid-avarana,Hridaya,Arjuna,Ksheerpaka,Milk,Hridya/Lekhana,"Fiber, Garlic",Saturated fats,Cardio exercise,Shavasana,Bhramari,Coronary health
rotator cuff injury,Vata,None,Amsasandhi-kshati,Snayu,Nirgundi,Taila,Warm water,Vatashamana,Protein rich,Overhead lifting,Physiotherapy,Tadasana,Anulom Vilom,Shoulder repair
fracture of the hand,Vata,None,Hasta-asthi bhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,"Calcium, protein",Exertion,Splinting,Shavasana,Anulom Vilom,Bone union
postoperative infection,Pitta,Kapha,Agantujashotha,Rakta Dhatu,Neem,Vati/Wash,Water,Krimighna/Ropana,"Light, warm food",Sugary foods,Sterile care,Shavasana,Anulom Vilom,Wound healing
osteochondrosis,Vata,Kapha,Asthi-vikruti,Asthi Dhatu,Shallaki,Vati,Warm water,Sandhanaka,Calcium rich,Sedentary life,Moderate activity,Trikonasana,Anulom Vilom,Cartilage health
hyperopia,Vata,None,Drishti-dosha,Netra (Eyes),Saptamrit Lauha,Vati,Ghee,Chakshushya,Vitamin A foods,Dark reading,Palming,Trataka,Anulom Vilom,Focus correction
knee ligament or meniscus tear,Vata,None,Janu-snayu-kshati,Snayu,Guggulu,Vati,Warm water,Sandhanaka,Nutritious proteins,Squatting,RICE therapy,Janu Shirasasana,Anulom Vilom,Ligament repair
intertrigo (skin condition),Kapha,Pitta,Sidhma (contextual),Twak (Skin),Haridra,Lep,Water,Kandughna,"Cooling, light",Sweat irritants,Keep folds dry,Tadasana,Sheetali,Fungal balance
chickenpox,Pitta,Kapha,Laghu-masurika,Rakta Dhatu,Neem,Leaves/Kwatha,Water,Vishagna,"Liquid, cooling","Sour, spicy",Isolation,Shavasana,Sheetali,Viral remission
cerebral edema,Kapha,Vata,Mastishka-shotha,Majja Dhatu,Punarnava,Kwatha,Water,Mutrala/Shothahara,Low salt diet,Fluid excess,Immediate medical,Shavasana,Anulom Vilom,Intracranial pressure
stenosis of the tear duct,Kapha,None,Ashru-avaradha,Netra (Eyes),Triphala,Grita,Honey,Lekhana,"Warm, light",Cold irritants,Gentle massage,Trataka,Anulom Vilom,Duct clearance
atelectasis,Kapha,Vata,Phuphusa-sankocha,Pranavaha Srotas,Vasa,Avaleha,Honey,Shwasahara,Warm fluids,Cold air,Incentive spirometry,Matsyasana,Deep breathing,Alveolar expansion
idiopathic nonmenstrual bleeding,Pitta,None,Asrigdara,Rakta Dhatu,Lodhra,Kwatha,Honey,Stambhana,"Cooling, bitter","Sour, pungent",Complete rest,Viparita Karani,Sheetali,Hemostasis
poisoning due to antimicrobial drugs,Pitta,None,Oushadha-visha,Rakta Dhatu,Sariva,Phant,Water,Vishagna,"Cooling, light",Allergenic drugs,Hydration,Shavasana,Sheetali,Drug detox
cervical cancer,Sannipata,None,Garbhashaya-arbudha,Artavavaha Srotas,Kanchanar,Arishta,Water,Rasayana,Antioxidant,Toxins,Screening/Onco-care,Baddha Konasana,Anulom Vilom,Cervical integrity
fibroadenoma,Kapha,Vata,Stana-granthi,Mamsa Dhatu,Kanchanar Guggulu,Vati,Warm water,Lekhana,Low fat diet,Caffeine,Self-exam,Tadasana,Anulom Vilom,Breast health
open wound of the mouth,Pitta,None,Mukha-vrana,Mukha (Mouth),Yastimadhu,Churna/Lep,Honey,Ropana,"Soft, cool",Spicy food,Local hygiene,Simhasana,Sheetali,Tissue repair
encephalitis,Sannipata,None,Mastishkavarana-shotha,Majja Dhatu,Guduchi,Satva,Water,Jwarahara/Vishagna,Liquid diet,Solid food,Intensive care,Shavasana,Anulom Vilom,Neural cooling
de quervain disease,Vata,None,Snayu-shoola,Snayu,Shallaki,Vati,Warm water,Shothahara,Anti-inflammatory,Repetitive thumb move,Thumb splint,Sukshma Vyayama,Anulom Vilom,Tendon ease
sjogren syndrome,Vata,Pitta,Rukshata,Rasa Dhatu,Shatavari,Ghrita,Milk,Rasayana,Hydrating foods,Dry/spicy food,Oil pulling,Trataka,Sheetali,Moisture balance
dissociative disorder,Vata,Rajas,Unmada,Manovaha Srotas,Brahmi,Grita,Milk,Medhya,Sattvic food,Sensory overload,Grounding routine,Vrikshasana,Nadi Shodhana,Psychic integration
coagulation (bleeding) disorder,Pitta,Rakta,Raktapitta,Rakta Dhatu,Vasa,Swarasa,Honey,Raktastambhana,Cooling food,Pungent spices,Avoid injury,Shavasana,Sheetali,Clotting stability
vocal cord polyp,Kapha,None,Kantharshas,Rasa Dhatu,Kanchanar Guggulu,Vati,Warm water,Lekhana,"Warm water, Honey",Shouting,Voice rest,Simhasana,Ujjayi,Vocal cord health
scarlet fever,Pitta,None,Jwara-visarpa,Rakta Dhatu,Guduchi,Satva,Water,Jwarahara,"Liquid, cooling",Heavy food,Rest,Shavasana,Sheetali,Infection remission
testicular torsion,Vata,None,Vridhi-shoola,Mamsa Dhatu,None (Surgical),Immediate Medical,Warm Milk or Sesame oil,Shamana (Pacification) and Dhatu-poshana (Tissue nourishment),Soft diet,Exertion,Emergency surgery,Shavasana,Anulom Vilom (Alternate Nostril Breathing),Vascular safety
carbon monoxide poisoning,Vata,Pitta,Visha-vayu,Rakta Dhatu,Tulsi,Arka,Honey,Vishagna,"Fresh air, Fluids",Toxic exposure,Oxygen therapy,Shavasana,Bhastrika,Blood purification
endometrial cancer,Sannipata,None,Garbhashaya-arbudha,Artava Dhatu,Kanchanar,Arishta,Water,Rasayana,Antioxidant,Toxins,Screening,Baddha Konasana,Anulom Vilom,Uterine health
pinworm infection,Kapha,None,Krimija,Purishavaha Srotas,Vidanga,Arishta,Water,Krimighna,"Bitters, Garlic",Sugar,Personal hygiene,Pavanamuktasana,Kapalbhati,Parasite clearance
trigger finger (finger disorder),Vata,Kapha,Snayu-stambha,Snayu,Guggulu,Vati,Warm water,Vatashamana,Anti-inflammatory,Repetitive grip,Gentle stretching,Sukshma Vyayama,Anulom Vilom,Joint glide
tic (movement) disorder,Vata,None,Kampa-vata,Manovaha Srotas,Ashwagandha,Churna,Milk,Medhya/Vatashamana,"Warm, grounding","Caffeine, Stress",Relaxation,Vrikshasana,Brahmari,Neural stability
stricture of the esophagus,Vata,Kapha,Srotorodha,Annavaha Srotas,Yastimadhu,Grita,Milk,Lekhana/Ropana,"Liquid, soft food","Dry, hard food",Frequent small sips,Vajrasana,Anulom Vilom,Esophageal patency
achalasia,Vata,None,Udavarta,Annavaha Srotas,Hing,Vati,Warm water,Vatanulomana,Pureed food,"Dry, cold food",Slow eating,Vajrasana,Anulom Vilom,Sphincter relaxation
dislocation of the elbow,Vata,None,Sandhi-muktata,Asthi Dhatu,Shallaki,Vati,Warm water,Sandhanaka,Protein rich,Lifting,Immobilization,Tadasana,Anulom Vilom,Joint union
autonomic nervous system disorder,Vata,None,Vatavyadhi,Majja Dhatu,Ashwagandha,Arishta,Water,Vatashamana,"Warm, stable diet","Stress, irregular sleep",Stable routine,Shavasana,Nadi Shodhana,Autonomic balance
extrapyramidal effect of drugs,Vata,None,Vata-vikruti,Majja Dhatu,Brahmi,Grita,Milk,Medhya,"Warm, grounding",Drug triggers,Medical review,Shavasana,Brahmari,Motor calm
bone cancer,Sannipata,None,Asthi-arbudha,Asthi Dhatu,Guduchi,Arishta,Water,Rasayana,"Calcium, nutrient rich",Processed toxins,Holistic support,Shavasana,Anulom Vilom,Bone integrity
endocarditis,Pitta,Kapha,Hrid-shotha,Hridaya,Arjuna,Vati,Water,Hridya/Vishagna,"Cooling, light",Heavy food,Cardiac care,Shavasana,Bhramari,Cardiac valve health
gynecomastia,Kapha,Vata,Meda-vriddhi,Mamsa Dhatu,Kanchanar Guggulu,Vati,Warm water,Lekhana,"Low fat, high fiber","Soy, alcohol",Weight control,Tadasana,Kapalbhati,Hormonal balance
dyshidrosis,Pitta,Kapha,Kshudra-kushtha,Twak (Skin),Neem,Taila,Ghee or Cooling water,Kandughna,"Cooling, light",Sweat irritants,Keep hands/feet dry,Tadasana,Sheetali,Skin barrier
spina bifida,Vata,None,Sahaja-vikruti,Asthi Dhatu,Bala,Ksheerpaka,Milk,Balya,Nutrient dense,Malnutrition,Supportive care,Shavasana,Anulom Vilom,Spinal support
spermatocele,Kapha,Vata,Vridhi-granthi,Shukravaha Srotas,Kanchanar Guggulu,Vati,Warm water,Lekhana,Anti-inflammatory,Heavy lifting,Scrotal support,Viparita Karani,Anulom Vilom,Cyst reduction
vitamin b12 deficiency,Vata,Pitta,Dhatukshaya,Majja Dhatu,Ashwagandha,Leha,Milk,Balya,B12 rich sources,Vegan diet (if unsupplemented),Monitor levels,Tadasana,Anulom Vilom,Nerve nourishment
kidney cancer,Sannipata,None,Vrikka-arbudha,Mutravaha Srotas,Punarnava,Guggulu,Water,Rasayana/Mutrala,"Low salt, antioxidant",Smoking,Regular monitoring,Bhujangasana,Anulom Vilom,Renal balance
fracture of the patella,Vata,None,Janu-asthi bhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,Calcium rich,Weight bearing,Bracing,Shavasana,Anulom Vilom,Patellar union
toxic multinodular goiter,Pitta,Kapha,Galaganda-paka,Mamsa Dhatu,Kanchanar Guggulu,Vati,Warm water,Pitta-shaman/Lekhana,Cooling food,Iodine excess,Stress control,Sarvangasana,Sheetali,Thyroid calm
lewy body dementia,Vata,Kapha,Smriti-bhramsha,Manovaha Srotas,Brahmi,Grita,Milk,Medhya,"Grounding, warm",Hallucination triggers,Cognitive care,Vrikshasana,Nadi Shodhana,Neurological focus
somatization disorder,Vata,Rajas,Manovaha-roga,Sarvadeha,Jatamansi,Churna,Milk,Manoprasadana,Sattvic diet,Stress,Therapy,Padmasana,Brahmari,Body-mind connection
esophageal cancer,Sannipata,None,Annavaha-arbudha,Annavaha Srotas,Yastimadhu,Grita,Milk,Rasayana,"Liquid, nourishing","Tobacco, alcohol",Onco-care,Vajrasana,Anulom Vilom,Esophageal integrity
vaginismus,Vata,None,Yonivyapad,Artavavaha Srotas,Ashwagandha,Taila,Warm Milk,Vatashamana,"Warm, grounding",Anxiety triggers,Pelvic physical therapy,Baddha Konasana,Nadi Shodhana,Pelvic relaxation
chorioretinitis,Pitta,Kapha,Netra-shotha,Netra (Eyes),Triphala,Grita,Honey,Shothahara,Cooling food,Direct light,Rest eyes,Trataka,Sheetali,Retinal healing
menopause,Vata,Pitta,Rajonivritti,Artava Dhatu,Shatavari,Churna,Milk,Rasayana/Balya,"Calcium rich, cooling","Spicy food, Caffeine","Exercise, meditation",Baddha Konasana,Anulom Vilom,Hormonal transition
goiter,Kapha,None,Galaganda,Mamsa Dhatu,Kanchanar Guggulu,Vati,Warm water,Lekhana,Iodine-rich (natural),Goitrogens (raw cabbage),Neck exercises,Sarvangasana,Ujjayi,Thyroid health
fracture of the jaw,Vata,None,Hanu-asthi bhanga,Asthi Dhatu,Laksha,Churna,Milk,Sandhanaka,Liquid diet,Hard food,Jaw immobilization,Shavasana,Anulom Vilom,Mandibular union
epilepsy,Vata,None,Apasmara,Manovaha Srotas,Brahmi,Ghrita,Warm Milk,Medhya,"Stable, sattvic food","Sleep deprivation, alcohol",Regular routine,Padmasana,Nadi Shodhana,Seizure control
hypothyroidism,Kapha,Vata,Agni-mandya,Rasa Dhatu,Kanchanar Guggulu,Vati,Warm water,Deepana/Lekhana,"Warm, light food","Cold, heavy food",Regular exercise,Sarvangasana,Ujjayi,Metabolic fire
hypernatremia,Pitta,Vata,Drava-kshaya,Rasa Dhatu,Amalaki,Rasayana,Water,Balya,"Hydrating, low salt",High salt,Water intake,Tadasana,Anulom Vilom,Sodium balance
parasitic disease,Kapha,None,Krimiroga,Rakta/Annavaha,Vidanga,Arishta,Water,Krimighna,"Bitters, Garlic","Sugar, Sweets",Hygiene,Pavanamuktasana,Kapalbhati,Intestinal purity
adhesive capsulitis of the shoulder,Vata,Kapha,Abhighata/Stambha,Snayu,Shallaki,Vati,Warm water,Vatashamana/Shothahara,Anti-inflammatory,Lack of movement,Physiotherapy,Tadasana,Anulom Vilom,Shoulder mobility
ascending cholangitis,Pitta,None,Yakrit-shotha,Yakrit (Liver),Katuki,Churna,Water,Pittasarak/Vishagna,"Liquid, cooling","Fats, Spices",Emergency care,Katichakrasana,Sheetali,Bile duct clearance
atonic bladder,Vata,None,Mutra-sangha,Mutravaha Srotas,Gokshura,Vati,Water,Vatashamana,Hydrating liquids,Caffeine,Bladder training,Mula Bandha,Anulom Vilom,Bladder tone
pityriasis rosea,Pitta,None,Kshudra-kushtha,Twak (Skin),Neem,Lep,Water,Raktaprasadana,Cooling food,Spicy food,Sunlight (moderate),Tadasana,Sheetali,Skin remission
aplastic anemia,Vata,Rakta,Pandu (contextual),Rakta Dhatu,Punarnava Mandura,Vati,Buttermilk,Rasayana/Raktavardhaka,"Iron rich, Nutritious",Infection risk,Rest,Vrikshasana,Anulom Vilom,Bone marrow health
central retinal artery or vein occlusion,Vata,Kapha,Srotorodha,Netra (Eyes),Arjuna,Vati,Water,Lekhana/Hridya,Heart healthy,Smoking,Emergency care,Trataka,Anulom Vilom,Retinal circulation
atrial fibrillation,Vata,Pitta,Hrid-kampa,Hridaya,Arjuna,Ksheerpaka,Milk,Hridya,"Low sodium, Fiber","Caffeine, Alcohol",Monitor rhythm,Shavasana,Bhramari,Cardiac rhythm
ovarian torsion,Vata,None,Artava-shoola,Artavavaha Srotas,None (Surgical),Immediate Medical,Warm Milk or Sesame oil,Shamana (Pacification) and Dhatu-poshana (Tissue nourishment),Soft diet,Exertion,Emergency surgery,Shavasana,Anulom Vilom (Alternate Nostril Breathing),Ovarian safety
poisoning due to analgesics,Pitta,None,Oushadha-visha,Rakta Dhatu,Sariva,Phant,Water,Vishagna,Cooling liquids,Overdose,Gastric lavage,Shavasana,Sheetali,Liver protection
lice,Kapha,None,Krimija,Twak (Hair),Neem,Taila,External,Krimighna,Bitter diet,Unhygienic habits,"Hair combing, Hygiene",Sarvangasana,Kapalbhati,Scalp purity
fracture of the skull,Vata,None,Mastishka-asthi bhanga,Asthi Dhatu,Brahmi,Grita,Milk,Sandhanaka/Medhya,"Liquid, soft",Hard food,Critical monitoring,Shavasana,Anulom Vilom,Cranial union
injury to the abdomen,Vata,Pitta,Koshtha-abhighata,Annavaha Srotas,Laksha,Churna,Milk,Sandhanaka,Liquid diet,Hard food,Strict rest,Shavasana,Anulom Vilom,Core recovery
protein deficiency,Kapha,None,Dhatukshaya,Mamsa Dhatu,Ashwagandha,Leha,Milk,Balya,"Protein-rich (lentils, nuts)",Fasting,Gradual refeeding,Tadasana,Anulom Vilom,Muscle rebuilding
dislocation of the shoulder,Vata,None,Amsa-sandhi muktata,Snayu,Shallaki,Vati,Warm water,Sandhanaka,Protein rich,Heavy lifting,Shoulder brace,Tadasana,Anulom Vilom,Joint stability
crushing injury,Vata,Pitta,Mamsa-paka,Mamsa Dhatu,Guggulu,Vati,Warm water,Shothahara/Ropana,"Protein, soft diet",Salty food,Elevate limb,Shavasana,Anulom Vilom,Tissue repair
salivary gland disorder,Kapha,Pitta,Mukha-shotha,Rasa Dhatu,Triphala,Gargle,Honey,Mukhashodhaka,"Hydrating, citrus",Spicy food,Lemon drops,Simhasana,Ujjayi,Salivary flow
nonalcoholic liver disease (nash),Kapha,Pitta,Yakrit-sthaulya,Yakrit (Liver),Katuki,Churna,Water,Lekhana/Pittasarak,"Low fat, High fiber","Sugar, Fructose",Weight loss,Katichakrasana,Sheetali,Liver metabolic health
drug abuse (barbiturates),Vata,Tamas,Madatyaya,Manovaha Srotas,Ashwagandha,Arishta,Water,Medhya,"Nourishing, sattvic",Drugs,De-addiction support,Padmasana,Brahmari,Nervous recovery
hydatidiform mole,Vata,Kapha,Garbhavikara,Artavavaha Srotas,Ashoka,Arishta,Water,None (Surgical),Post-surgical care food,Physical strain,Medical removal,Shavasana,Anulom Vilom,Uterine recovery
septic arthritis,Pitta,Kapha,Sandhi-vidradhi,Sandhi (Joints),Guggulu,Vati,Warm water,Vishagna/Shothahara,Anti-inflammatory,"Dairy, sweets",Joint immobilization,Shavasana,Anulom Vilom,Synovial clearing
endophthalmitis,Pitta,Kapha,Netra-shotha,Netra (Eyes),Triphala,Grita,Water,Vishagna,Cooling diet,Direct light,Emergency antibiotics,Trataka,Sheetali,Ocular infection control
testicular disorder,Vata,Kapha,Shukravaha Srotas,Mamsa Dhatu,Gokshura,Vati,Warm water,Vatashamana,"Balanced, nutritious",Spicy food,Scrotal health,Viparita Karani,Anulom Vilom,Testicular vitality
amyotrophic lateral sclerosis (als),Vata,None,Vata-kshaya,Majja Dhatu,Ashwagandha,Ghrita,Milk,Rasayana/Balya,Nerve nourishing,Skipping meals,Supportive therapy,Shavasana,Anulom Vilom,Neuro-protection
hematoma,Rakta,Vata,Raktaja-granthi,Mamsa Dhatu,Haridra,Lep,Lukewarm water,Shothahara,Anti-inflammatory,Salty food,Ice application,Tadasana,Anulom Vilom,Blood reabsorption
phimosis,Vata,Kapha,Shishnaroga,Mamsa Dhatu,None (Surgical/Manual),Manual Dilatation,Warm Milk or Sesame oil,Shamana (Pacification) and Dhatu-poshana (Tissue nourishment),Soft diet,Irritants,Local hygiene,Tadasana,Anulom Vilom,Anatomical ease
lichen simplex,Vata,Kapha,Charmakushtha,Twak (Skin),Neem,Taila,Warm Milk or Sesame oil,Kandughna,"Cooling, light","Stress, Allery",Moisturizing,Tadasana,Sheetali,Skin barrier
burn,Pitta,None,Dagdh-vrana,Twak (Skin),Aloe Vera,Gel,Ghee or Cooling water,Daha-prashamana,Cooling fluids,Spicy food,Clean dressing,Shavasana,Sheetali,Tissue cooling
guillain barre syndrome,Vata,None,Vatavyadhi,Majja Dhatu,Bala,Oil/Ksheerpaka,Milk,Balya,Nerve nourishing,Infection risk,In-patient care,Shavasana,Anulom Vilom,Neuro-regeneration
hypertension of pregnancy,Pitta,Vata,Garbhini-raktachapa,Rakta Dhatu,Arjuna,Vati,Water,Hridya,"Low salt, nutritious","Spices, Stress",Rest,Shavasana,Nadi Shodhana,Maternal stability
presbyacusis,Vata,None,Badhirya,Karna (Ear),Saraswata Ghrita,Ghrita,Milk,Rasayana,"Warm, oily",Loud noise,Karna Purana,Simhasana,Brahmari,Auditory aging
